───────────────────────────────────────────────────────────────────────────────
Language                 Files     Lines   Blanks  Comments     Code Complexity
~/__tests__/Inventory.test.tsx        69       13         3       53          0
~omponents/layout/CommsLog.tsx        68        4         0       64         17
~ponents/layout/CyberToast.tsx        68        6         0       62         11
~vices/logging/auditService.ts        68       13         1       54          9
~ture/GestureMetricsService.ts        68       13         1       54          8
~sts__/securityAuditor.test.ts        67        5         0       62          1
~ts__/useConversations.test.ts        67        9         0       58          6
~nents/diagram/diagramUtils.ts        67       10        12       45         20
~onents/layout/SimControls.tsx        67        8         5       54         18
services/diagramDiff.ts               66       11         7       48         11
~s/inventory/inventoryUtils.ts        65        3         6       56          8
~ents/layout/MentorOverlay.tsx        65        8         0       57          2
~ts__/aiMetricsService.test.ts        65       10         0       55          1
~vices/peerDiscoveryService.ts        65       12         4       49          4
services/bomService.ts                65        9         5       51          8
~ervices/threeCodeValidator.ts        65        8         9       48          5
~ervices/partStorageService.ts        64        9         5       50          2
~s/dashboard/WidgetWrapper.tsx        63        6         0       57          5
~ces/gemini/features/wiring.ts        63        7         2       54          2
~s/layout/CollaboratorList.tsx        62        9         1       52          2
hooks/actions/navHandlers.ts          61        8         0       53          4
services/webRTCService.ts             60       13         1       46         10
~s/dashboard/HeatmapWidget.tsx        60        6         2       52          8
services/healthMonitor.ts             60        8         0       52         13
~emini/features/suggestions.ts        60        6         4       50          3
hooks/useClickOutside.ts              60       10        19       31          7
services/api/tokenService.ts          58       10         0       48          6
components/IconButton.tsx             58        8         7       43          7
~xts/AssistantStateContext.tsx        58        8         1       49          8
~nts/dashboard/AnalogGauge.tsx        57        3         0       54          0
~gemini/features/datasheets.ts        57        4         3       50          6
services/collabService.ts             56       10         7       39          6
~vices/config/configManager.ts        55        7         7       41         15
~ents/diagram/RemoteCursor.tsx        53        4         0       49          0
services/api/apiGateway.ts            52        9         7       36          6
hooks/actions/index.ts                52        6        10       36          1
~ervices/datasheetProcessor.ts        51        6         7       38          5
hooks/useAutonomySettings.ts          51        8         2       41          4
~vices/search/searchIndexer.ts        50        8         6       36          6
~board/LogicAnalyzerWidget.tsx        49        4         1       44         16
services/viz/vizEngine.ts             49       10         6       33          3
~rvices/gemini/features/hud.ts        48        9         6       33          5
playwright.config.ts                  48        7         2       39          6
~ts/diagram/MismatchMarker.tsx        48        4         0       44          0
contexts/HealthContext.tsx            47        7         1       39          7
~/analytics/projectAnalyzer.ts        47        7         6       34         12
~rvices/connectivityService.ts        47        7         5       35          0
hooks/useActionHistory.ts             44        8         0       36          2
